participantGuid,NavTotal,TrainTotal,BGFGTotal,Skipper
3A441C0E-1A39-45BE-B273-66DE8142171A,10,9,2.0,0
B640CA17-2440-4D94-B0F7-51267F3F9605,6,0,0.0,0
6D4B77EF-D842-4101-AE4E-FDD5A67464B7,19,18,6.0,0
7E6A3DF6-B333-4C34-8439-60D0F1A80F5E,9,4,0.0,0
EE8F7D38-BDC0-422A-90B2-27344F52B4EF,6,6,0.0,0
5F726E75-CBD4-45FF-A431-039149E0F756,6,6,0.0,0
3CBC9FAC-7126-4692-8742-6F9D879BE659,5,5,0.0,0
232BEAAC-ECFD-4E08-9CDB-CCD342C54E6E,1,1,0.0,0
81CC993C-6951-4B08-BA98-87CF02DE7708,9,5,0.0,0
B6673B65-C110-4E04-8FA5-099D22E5887C,18,13,4.0,0
B6673B65-C110-4E04-8FA5-099D22E5887C,18,13,4.0,0
B6673B65-C110-4E04-8FA5-099D22E5887C,18,13,4.0,0
8A0DED93-E062-4E30-A8BB-71EFB47BD84D,8,15,6.0,0
B3271A04-5C24-4414-B985-A787D8EE00E3,134,2,1.0,1
266EB970-30F7-44A1-9488-1305BA541BE2,96,0,0.0,1
66A715A9-38A8-4E38-AD76-FA1E82EDCE38,17,0,0.0,0
