participantGuid	resultString
3A441C0E-1A39-45BE-B273-66DE8142171A	"['BG,0,1516907099.49385','FG,0,1516909973.48438','BG,0,1516909981.99614','FG,0,1516911999.9583','TB,0,1516912673.08935','TF,0,1516912675.18113','TPC,0,1516912677.73205','TBP,0,1516912679.50087','TFP,0,1516912681.98488','F,19,1516912686.771','F,250,1516912689.03758','B,323,1516912690.37009','B,227,1516912691.15757','B,77,1516912694.37422']"
552F3EA4-0684-4D80-BEE7-838E24E76DD4	[]
B640CA17-2440-4D94-B0F7-51267F3F9605	"['P,8441,1516921059.97473','C,8441,1516921060.51926','P,8467,1516921061.86992','C,8467,1516921062.2836','P,10761,1516921201.19615','C,10761,1516921201.60944']"
6D4B77EF-D842-4101-AE4E-FDD5A67464B7	"['BG,0,1516929286.54118','FG,0,1516930614.79446','BG,0,1516930615.08017','FG,0,1516931112.75614','TPC,0,1516931656.95823','TB,0,1516931658.90666','TF,0,1516931660.80704','TBP,0,1516931663.67423','TF,0,1516931665.59141','TFP,0,1516931668.94192','P,1378,1516931750.52973','C,1378,1516931835.0519','P,1814,1516931861.81148','C,1814,1516931869.62085','P,2535,1516931912.58823','C,2535,1516931941.30881','P,3261,1516931984.67859','BG,0,1516932101.32011','FG,0,1516932107.83702','P,3504,1516932120.60234','BP,3504,1516932152.18537','P,2599,1516932154.18389','C,2599,1516932157.88683','B,3777,1516932227.70618','BG,0,1516932288.053','FG,0,1516932292.2519','BG,0,1516932427.95191','FG,0,1516932430.31232','B,10267,1516932624.96636','BG,0,1516932886.09276','FG,0,1516932889.27895']"
7E6A3DF6-B333-4C34-8439-60D0F1A80F5E	"['TPC,0,1516996502.35076','TPC,0,1516996504.12018','B,0,1516996506.30402','F,0,1516996507.01865','P,19,1516996507.8526','F,19,1516996508.5685','B,27,1516996509.15092','P,27,1516996510.99977','C,27,1516996514.53606']"
EE8F7D38-BDC0-422A-90B2-27344F52B4EF	"['TFP,0,1516996758.92416','TBP,0,1516996761.91777','TF,0,1516996764.01684','TB,0,1516996766.01615','TPC,0,1516996768.38395','TFP,0,1516996771.21629']"
5F726E75-CBD4-45FF-A431-039149E0F756	"['TB,0,1516999516.49871','TF,0,1516999518.89546','TF,0,1516999521.91219','TBP,0,1516999525.34926','TFP,0,1516999527.46502','TPC,0,1516999530.09681']"
3CBC9FAC-7126-4692-8742-6F9D879BE659	"['TPC,0,1517009874.47201','TB,0,1517009876.49909','TF,0,1517009879.08203','TBP,0,1517009882.06909','TFP,0,1517009884.81811']"
1F30ADEF-C972-46A7-8C9C-6FCCF1E35504	[]
232BEAAC-ECFD-4E08-9CDB-CCD342C54E6E	"['TPC,0,1517072543.36793']"
81CC993C-6951-4B08-BA98-87CF02DE7708	"['TB,0,1517076210.67893','TF,0,1517076212.69304','TPC,0,1517076214.94081','TFP,0,1517076217.17744','TBP,0,1517076219.92765','BP,175,1517076232.92829','B,4262,1517076484.12048','P,4168,1517076485.78735','C,4168,1517076486.23428']"
39359BAB-CC21-4C58-A7AD-40B8D39752EA	[]
