participantGuid,NavTotal,TrainTotal,BGFGTotal,Skipper5-4
05092872-9C7B-4B3F-9A49-16481DB05B1E,62,15,7.0,1
05A3067E-8E02-413F-B43D-F2E5B546C75B,2,14,7.0,0
0724F1CB-FE91-4F49-AF3B-840AB3C17862,97,3,0.0,1
0AB6937E-CCF4-44CB-ACEB-41B6DD50C194,16,0,0.0,1
0D89E41D-A788-4F1A-8FB6-A5CCBC1FA868,42,2,1.0,1
0E16B78A-119E-40E5-9406-38508C6641D5,16,6,0.0,0
0E4398F9-4BB7-4852-95F0-60921C55DAE9,11,5,0.0,0
0F4DC3B2-9D67-4886-91D6-2383939E8520,23,3,0.0,1
1320031F-847C-4D67-9592-0264E0625A92,2,0,0.0,0
13665162-31ED-4D0A-B0E6-FB6738B04CC1,7,5,0.0,0
1545C5D3-9B86-4188-8F2C-1B209279FA7C,4,4,0.0,0
1785A588-BAC1-431D-B91A-14C9A106762A,9,7,0.0,0
1B777A19-5377-4AD7-BF2D-2266BD5595EE,8,7,1.0,0
1C5875D6-4C66-46E1-BF13-734821BE9A35,20,5,0.0,1
227A30FE-E2B3-48CD-9D79-700AFCD58485,8,4,0.0,0
232BEAAC-ECFD-4E08-9CDB-CCD342C54E6E,1,1,0.0,0
26506490-163E-4461-97BC-005EBCB4D8C3,5,5,0.0,0
266EB970-30F7-44A1-9488-1305BA541BE2,96,0,0.0,1
273F55B8-2032-48AD-B2B9-CD37ADED968D,10,0,0.0,0
28A43BA0-1AAE-4CAC-A584-49CFDAD6C452,17,21,4.0,0
2A49407A-8315-4E33-B988-FC4D8D6E14B6,20,5,0.0,0
2A89A9F5-A810-4AB6-95B0-4B51C46B1BDC,5,2,1.0,0
2AF15B47-D4B0-4BB0-8A76-6B355A20A6D9,6,5,0.0,0
2B5FE5BF-B6F0-4D7A-966C-3FB2A0186AA1,8,5,0.0,0
2CCB6B41-FFA0-4CBE-978A-B6557CD36E42,0,4,2.0,0
328D89DF-CE88-460D-8943-6623855A2699,7,4,0.0,0
3A441C0E-1A39-45BE-B273-66DE8142171A,10,9,2.0,0
3A72DDFE-7FA8-42D3-9EA3-37D1B8410E7B,37,5,0.0,1
3CBC9FAC-7126-4692-8742-6F9D879BE659,5,5,0.0,0
