participantGuid	resultString
031D55F2-1D7C-49CB-BEF4-5903354470E2	
03CA4AF2-48AD-4896-96E1-39973794E3DE	
05092872-9C7B-4B3F-9A49-16481DB05B1E	"['BG,0,1506448372.25744','FG,0,1506452572.14925','BG,0,1506452786.17563','FG,0,1506452786.6966','TF,0,1506453119.53385','BG,0,1506453259.31316','FG,0,1506453268.28782','B,2690,1506453286.88058','B,2577,1506453287.59859','F,2520,1506453288.44716','B,2585,1506453289.54741','P,2556,1506453292.7459','C,2556,1506453293.61487','B,2702,1506453301.09995','B,2585,1506453302.0973','B,2520,1506453302.68315','F,2383,1506453303.79864','F,2515,1506453304.21513','F,2564,1506453304.64866','F,2680,1506453305.09864','F,2849,1506453305.54829','F,2949,1506453305.96545','F,3308,1506453309.31537','BG,0,1506453440.82261','FG,0,1506453620.63134','F,5726,1506453624.1701','F,5752,1506453624.61982','F,5825,1506453625.00327','F,6011,1506453625.35387','F,6135,1506453625.61997','F,6208,1506453625.93532','F,6315,1506453626.22006','F,6355,1506453626.51872','F,6539,1506453626.8033','F,6780,1506453627.08727','F,6914,1506453627.36997','F,7071,1506453627.65899','BG,0,1506453708.29482','FG,0,1506453710.32217','BG,0,1506453831.13874','FG,0,1506455077.20472','F,10629,1506455082.39252','F,10730,1506455082.92631','F,10839,1506455083.40962','F,10923,1506455083.91474','F,11033,1506455084.39297','F,11263,1506455085.24313','F,11395,1506455085.69297','F,11487,1506455086.22636','P,11864,1506455097.39636','BG,0,1506455104.95313','FG,0,1506455691.53414','C,11864,1506455704.36983','BP,12590,1506455744.97386','FP,12032,1506455745.79068','FP,12624,1506455746.65741','FP,13229,1506455747.25751','FP,14143,1506455747.94125','FP,14330,1506455748.75733','FP,14714,1506455749.42473','FP,14722,1506455750.19113','F,14722,1506455750.95585','F,14818,1506455751.87267','F,14923,1506455752.7229','F,15023,1506455753.4062','F,15096,1506455753.8895','F,15202,1506455754.30646','F,15325,1506455754.80659','F,15394,1506455755.27327','F,15448,1506455755.79044','F,15453,1506455756.28969','F,15493,1506455757.97324','F,15500,1506455758.62318','F,15516,1506455759.43998','P,15531,1506455760.55653','C,15531,1506455771.32306']"
05A3067E-8E02-413F-B43D-F2E5B546C75B	"['BG,0,1493864481.49906','FG,0,1493864505.59001','BG,0,1493864526.68176','FG,0,1493864527.27852','BG,0,1493865198.51082','FG,0,1493865221.29469','BG,0,1493865253.90881','FG,0,1493865257.84336','P,2538,1493865374.15573','C,2538,1493865375.20649','BG,0,1493865451.7045','FG,0,1493865456.60195','BG,0,1493865799.73619','FG,0,1493865802.48702','BG,0,1493865921.56527','FG,0,1493865923.13219']"
0724F1CB-FE91-4F49-AF3B-840AB3C17862	"['TB,0,1506463158.14185','TB,0,1506463161.0068','TB,0,1506463165.35634','B,10,1506463168.57362','FP,140,1506463177.62572','FP,429,1506463178.25907','FP,694,1506463178.82568','FP,1096,1506463179.34249','FP,1439,1506463180.35958','P,1496,1506463180.95866','FP,1496,1506463181.42609','FP,1925,1506463181.97533','FP,2573,1506463182.50907','F,3450,1506463183.07392','F,3450,1506463183.12622','FP,3694,1506463184.17744','P,3694,1506463184.3092','FP,3694,1506463184.77577','FP,4475,1506463185.42615','FP,4800,1506463186.0747','P,4800,1506463186.14209','C,4800,1506463186.77523','P,4800,1506463186.80852','FP,4800,1506463187.32645','FP,5662,1506463188.00991','FP,6019,1506463188.62636','FP,6554,1506463189.85883','FP,6914,1506463190.45966','FP,7504,1506463191.07646','FP,8366,1506463192.27643','FP,9041,1506463192.92647','FP,9097,1506463193.5596','FP,9491,1506463194.193','FP,10547,1506463195.47649','FP,11279,1506463197.30998','FP,12023,1506463197.84356','FP,12620,1506463198.34324','F,13229,1506463198.82845','F,13229,1506463198.89326','BP,13657,1506463204.14362','BP,13238,1506463204.94388','BP,12620,1506463205.42773','BP,12023,1506463205.90926','BP,11259,1506463206.4438','BP,10536,1506463206.96088','BP,9491,1506463207.47694','BP,9089,1506463207.99391','BP,9041,1506463208.46028','BP,8345,1506463208.94445','BP,7504,1506463209.44372','BP,6914,1506463209.92554','BP,6539,1506463210.3926','BP,6015,1506463210.8921','BP,5659,1506463211.3756','BP,5623,1506463211.85872','BP,4793,1506463212.34244','BP,4481,1506463213.32645','BP,3950,1506463213.80891','BP,3450,1506463214.27651','BP,2573,1506463214.79235','BP,1925,1506463215.29278','BP,1496,1506463215.82671','BP,1439,1506463216.4267','BP,1096,1506463217.09397','BP,694,1506463217.77735','B,2505,1506463338.6636','BP,3800,1506463426.28699','BP,3450,1506463426.68507','BP,2564,1506463427.05145','FP,1931,1506463427.76971','FP,2564,1506463428.10195','FP,3450,1506463428.41802','FP,3950,1506463428.70194','FP,4465,1506463429.0011','FP,4793,1506463429.3188','FP,5623,1506463429.61868','FP,5655,1506463429.88412','FP,6011,1506463430.18509','FP,6539,1506463430.43438','FP,6914,1506463430.71792','FP,7504,1506463430.96779','FP,8345,1506463431.25132','FP,9041,1506463431.55318','FP,9089,1506463431.81774','FP,9491,1506463432.10148','FP,10536,1506463432.38438','FP,11255,1506463432.65162','FP,12032,1506463433.25318','FP,12616,1506463433.51791','FP,13229,1506463433.81831','FP,13229,1506463434.3648','FP,13229,1506463434.45486','FP,14711,1506463434.80139','P,14736,1506463436.44348','FP,14736,1506463437.90303','FP,14711,1506463438.33463','FP,14714,1506463438.73656']"
0AB6937E-CCF4-44CB-ACEB-41B6DD50C194	"['P,10,1517199345.09526','C,10,1517199346.90931','F,13189,1517200120.91714','F,13238,1517200121.81751','F,13411,1517200122.6841','F,13575,1517200123.3175','F,13743,1517200123.73437','F,13893,1517200124.06765','F,13950,1517200124.38431','F,14034,1517200124.73438','F,14136,1517200125.01747','F,14176,1517200125.3011','F,14219,1517200125.5669','F,14319,1517200125.84941','F,14562,1517200126.11706','F,14637,1517200126.43481']"
0D41EF9F-23C6-4FFD-BC75-A17504C119AC	
0D89E41D-A788-4F1A-8FB6-A5CCBC1FA868	"['BG,0,1493852070.26688','FG,0,1493853167.53124','FP,154,1493853611.69835','FP,453,1493853613.68173','FP,694,1493853614.34759','FP,1089,1493853614.84754','FP,1439,1493853615.24778','FP,1496,1493853615.69808','FP,1925,1493853616.09601','FP,2564,1493853616.548','FP,3450,1493853616.93155','FP,3950,1493853617.31323','F,4469,1493853617.73603','FP,4688,1493853618.18215','FP,4793,1493853618.61342','FP,5623,1493853619.06617','FP,5659,1493853619.5326','FP,6015,1493853620.01685','FP,6539,1493853620.53068','FP,6914,1493853621.03094','FP,7504,1493853621.51433','FP,8345,1493853621.96285','FP,9041,1493853622.43056','FP,9089,1493853622.91487','FP,9491,1493853623.41424','FP,10536,1493853623.86235','FP,11259,1493853624.36422','FP,12023,1493853624.81467','FP,12620,1493853625.29763','FP,13229,1493853625.80243','FP,14136,1493853626.26504','FP,14327,1493853626.80257','FP,14714,1493853627.2979','FP,14714,1493853627.8043','F,14790,1493853632.51437','F,14820,1493853633.54716','P,14915,1493853633.76346','F,14915,1493853634.51445','F,15023,1493853635.25996','P,15023,1493853635.33632','F,15023,1493853635.99728','F,15202,1493853636.6474','F,15329,1493853637.31497','F,15403,1493853638.44891']"
0E16B78A-119E-40E5-9406-38508C6641D5	"['TB,0,1508620752.76898','TF,0,1508620755.1164','TPC,0,1508620757.70024','TPC,0,1508620759.63511','TFP,0,1508620761.65194','TBP,0,1508620764.85197','P,3065,1508620947.82936','C,3065,1508621060.95019','P,5216,1508621183.7244','C,5216,1508621224.19474','P,6135,1508621280.56342','C,6135,1508621395.20531','P,14179,1508621873.75388','C,14179,1508621876.18564','P,15130,1508621931.99196','C,15130,1508621932.75773']"
0E4398F9-4BB7-4852-95F0-60921C55DAE9	"['TB,0,1493765551.31793','TF,0,1493765554.19742','TPC,0,1493765556.80011','TFP,0,1493765558.61449','TBP,0,1493765561.26465','P,58,1493765567.29885','C,58,1493765569.05053','B,2292,1493765699.92633','P,9658,1493766143.20083','C,9658,1493766180.43588','B,9700,1493766183.15048']"
