participantGuid,NavTotal,TrainTotal,BGFGTotal,Skipper
05092872-9C7B-4B3F-9A49-16481DB05B1E,62,15,7.0,0
05092872-9C7B-4B3F-9A49-16481DB05B1E,62,15,7.0,0
05092872-9C7B-4B3F-9A49-16481DB05B1E,62,15,7.0,0
05092872-9C7B-4B3F-9A49-16481DB05B1E,62,15,7.0,0
0724F1CB-FE91-4F49-AF3B-840AB3C17862,97,3,0.0,1
0724F1CB-FE91-4F49-AF3B-840AB3C17862,97,3,0.0,1
0724F1CB-FE91-4F49-AF3B-840AB3C17862,97,3,0.0,1
0724F1CB-FE91-4F49-AF3B-840AB3C17862,97,3,0.0,1
0D89E41D-A788-4F1A-8FB6-A5CCBC1FA868,42,2,1.0,0
0F4DC3B2-9D67-4886-91D6-2383939E8520,23,3,0.0,0
1C5875D6-4C66-46E1-BF13-734821BE9A35,20,5,0.0,1
3A72DDFE-7FA8-42D3-9EA3-37D1B8410E7B,37,5,0.0,0
4285FE84-B20B-4C61-B02A-53BCBD86CAB0,15,5,0.0,1
42E2F2E5-62EF-417D-AE5A-FB7FE292A027,134,0,0.0,0
42E2F2E5-62EF-417D-AE5A-FB7FE292A027,134,0,0.0,0
4CAA20BE-77B7-4B45-8629-F1E3AFF98D66,54,0,0.0,0
4CAA20BE-77B7-4B45-8629-F1E3AFF98D66,54,0,0.0,0
4CAA20BE-77B7-4B45-8629-F1E3AFF98D66,54,0,0.0,0
686B6CB9-2E7D-49F6-A44A-E48F4480324D,53,3,0.0,0
895C556E-EA3E-474F-896E-4BCF1834ABC8,32,0,0.0,0
89D589AC-D35B-4524-8707-15194794827C,69,17,6.0,1
89D589AC-D35B-4524-8707-15194794827C,69,17,6.0,1
89D589AC-D35B-4524-8707-15194794827C,69,17,6.0,1
89D589AC-D35B-4524-8707-15194794827C,69,17,6.0,1
A74ADC95-4FBE-4067-A9C5-6B8F7CEF5DEB,118,2,1.0,0
A74ADC95-4FBE-4067-A9C5-6B8F7CEF5DEB,118,2,1.0,0
A8074511-0CDE-402B-B117-44D267F5DEC1,53,12,5.0,1
A8074511-0CDE-402B-B117-44D267F5DEC1,53,12,5.0,1
A8074511-0CDE-402B-B117-44D267F5DEC1,53,12,5.0,1
B7464B53-88D0-4B8A-AC1E-0F2B5335CAD7,28,5,0.0,0
BE4CA75D-6FDD-44AC-B10D-EDD36CF404F8,29,11,3.0,0
BE4CA75D-6FDD-44AC-B10D-EDD36CF404F8,29,11,3.0,0
C81E72E0-1335-4100-A5E4-9A3E3DD17A03,32,9,4.0,1
C96D62ED-FB49-4685-A5D6-A4F1E786D911,10,9,3.0,1
D292784D-0463-413F-BA34-F94121FA453A,39,3,0.0,0
D36436E3-2399-4817-B863-D3742C691F7E,85,19,3.0,0
D36436E3-2399-4817-B863-D3742C691F7E,85,19,3.0,0
D36436E3-2399-4817-B863-D3742C691F7E,85,19,3.0,0
E6C0F7B2-FB0F-4CC4-9654-6554276E2FEB,135,0,0.0,0
F849A99C-397F-4D8A-BDD4-D820C55A570D,41,0,0.0,1
F849A99C-397F-4D8A-BDD4-D820C55A570D,41,0,0.0,1
F849A99C-397F-4D8A-BDD4-D820C55A570D,41,0,0.0,1
FC42ED5E-D7AB-498A-99C2-DCEC30DF88C5,54,5,0.0,0
FFC452A9-74EA-4455-8521-5E7BFDB74D4F,39,9,2.0,1
