participantGuid,Skipper53
,
05092872-9C7B-4B3F-9A49-16481DB05B1E,0
,
05A3067E-8E02-413F-B43D-F2E5B546C75B,0
,
0724F1CB-FE91-4F49-AF3B-840AB3C17862,1
,
0D89E41D-A788-4F1A-8FB6-A5CCBC1FA868,0
,
0E16B78A-119E-40E5-9406-38508C6641D5,0
,
0E4398F9-4BB7-4852-95F0-60921C55DAE9,0
,
0F4DC3B2-9D67-4886-91D6-2383939E8520,0
,
1320031F-847C-4D67-9592-0264E0625A92,0
,
13665162-31ED-4D0A-B0E6-FB6738B04CC1,0
,
1545C5D3-9B86-4188-8F2C-1B209279FA7C,0
,
1785A588-BAC1-431D-B91A-14C9A106762A,0
,
1B777A19-5377-4AD7-BF2D-2266BD5595EE,0
,
1C5875D6-4C66-46E1-BF13-734821BE9A35,0
,
227A30FE-E2B3-48CD-9D79-700AFCD58485,0
,
26506490-163E-4461-97BC-005EBCB4D8C3,0
,
273F55B8-2032-48AD-B2B9-CD37ADED968D,0
,
28A43BA0-1AAE-4CAC-A584-49CFDAD6C452,0
,
2A49407A-8315-4E33-B988-FC4D8D6E14B6,0
,
2A89A9F5-A810-4AB6-95B0-4B51C46B1BDC,0
,
2AF15B47-D4B0-4BB0-8A76-6B355A20A6D9,0
,
2B5FE5BF-B6F0-4D7A-966C-3FB2A0186AA1,0
,
2CCB6B41-FFA0-4CBE-978A-B6557CD36E42,0
,
328D89DF-CE88-460D-8943-6623855A2699,0
,
3A72DDFE-7FA8-42D3-9EA3-37D1B8410E7B,0
,
3DD16C50-2D52-465F-B441-E6BCCE9DB638,0
,
4018BF45-3C91-4EDB-90FF-D933E251EECE,0
,
4285FE84-B20B-4C61-B02A-53BCBD86CAB0,0
,
42E2F2E5-62EF-417D-AE5A-FB7FE292A027,1
,
4B56273B-A3A7-45D2-9657-F9BEF6F6FBE3,0
,
4C461377-D5F5-42A6-BBF9-4B20AF1CC34E,0
,
4CAA20BE-77B7-4B45-8629-F1E3AFF98D66,0
,
580BB24D-9032-4D81-AE61-6F3EEDA856C3,0
,
58F41389-7A88-4D7F-8D67-4329E5DCF7E9,0
,
5ACD66D1-49FE-4D59-8BE0-C8E28AD5E840,0
,
62F631E4-0B58-4BDA-9F55-59FA78FB4EE1,0
,
686B6CB9-2E7D-49F6-A44A-E48F4480324D,0
,
687CB647-1B3F-4ECC-95C7-35829B390161,0
,
7C3ADEDB-4C36-4147-96D3-5D5603169D82,0
,
84F7D5DD-AD1A-43EC-A4CA-17CEA95DB508,0
,
895C556E-EA3E-474F-896E-4BCF1834ABC8,0
,
89D589AC-D35B-4524-8707-15194794827C,1
,
8F2E64AF-B254-4A18-8573-407D941F9EF9,0
,
91ED2E05-7A39-4249-8504-0DDB64E5E27F,0
,
99C2B78D-7235-4F34-AB22-D316CE659E7B,0
,
9B401520-66C3-49B0-8DB7-AC8FF801F384,0
,
A31493FE-0129-4E44-B15B-04BF3D609351,0
,
A32F06B7-6A5C-4630-8C60-FCD9678650B0,0
,
A52955B9-2887-462B-8511-2C9B89832F82,0
,
A74ADC95-4FBE-4067-A9C5-6B8F7CEF5DEB,1
,
A8074511-0CDE-402B-B117-44D267F5DEC1,0
,
AE562EE6-1CD9-496B-87D2-4100A83006FE,0
,
AFAAB5DD-E78F-46BB-B711-D560D96EEAAE,0
,
AFE40A42-0C72-4E51-84E6-7C5C10FDB489,0
,
B0447EDF-6A87-4710-BADE-8DEF4E9CB0E6,0
,
B7464B53-88D0-4B8A-AC1E-0F2B5335CAD7,0
,
B96CFE20-995E-49F7-B277-5697873E05E1,0
,
BE082390-E1D1-4789-8E23-03E578DC9F42,0
,
BE4CA75D-6FDD-44AC-B10D-EDD36CF404F8,0
,
BEB2E1D0-7318-45DA-AA64-79DD15167C91,0
,
C60E4FDE-1917-4464-9AAF-C32FA7DD87BB,0
,
C79EEAD6-63FE-49FD-9746-CBD70B093262,0
,
C81E72E0-1335-4100-A5E4-9A3E3DD17A03,0
,
C8CC2674-C699-44DC-9E3D-B3097EDDB5D2,0
,
C96D62ED-FB49-4685-A5D6-A4F1E786D911,0
,
CA9F4AD8-CCD8-4D79-99FE-04774E18663D,0
,
D292784D-0463-413F-BA34-F94121FA453A,0
,
D36436E3-2399-4817-B863-D3742C691F7E,0
,
D63BC842-84E5-4FAF-A43F-7C0D9D552B65,0
,
DC7F0BB6-E473-4DE9-AAC9-100EFD732D66,0
,
E5905C80-513D-446B-B818-1123B729B386,0
,
E6C0F7B2-FB0F-4CC4-9654-6554276E2FEB,0
,
E7115FC5-51A5-4CC6-BAB4-FB8B18BBDF6C,0
,
E7F2761B-C45B-47C1-AC52-C778B0DAE3BE,0
,
EE1B994B-4366-4225-98B7-7C0535C65773,0
,
EE1D020A-5A45-48F1-AC3B-BC585044E2AD,0
,
F04B766F-8D9B-482D-810B-9E17FCBA0C0B,0
,
F3C8412F-F29E-452F-B1C4-4327A33ADFB4,0
,
F849A99C-397F-4D8A-BDD4-D820C55A570D,1
,
FA8E6CBB-148A-4609-AFB5-9F96CBCF310C,0
,
FC42ED5E-D7AB-498A-99C2-DCEC30DF88C5,0
,
FC785280-CFFB-4661-AD9B-F1F26042C176,0
,
FFC452A9-74EA-4455-8521-5E7BFDB74D4F,1
