participantGuid	resultString
3A441C0E-1A39-45BE-B273-66DE8142171A	"[&quot;BG,0,1516907099.49385&quot;,&quot;FG,0,1516909973.48438&quot;,&quot;BG,0,1516909981.99614&quot;,&quot;FG,0,1516911999.9583&quot;,&quot;TB,0,1516912673.08935&quot;,&quot;TF,0,1516912675.18113&quot;,&quot;TPC,0,1516912677.73205&quot;,&quot;TBP,0,1516912679.50087&quot;,&quot;TFP,0,1516912681.98488&quot;,&quot;F,19,1516912686.771&quot;,&quot;F,250,1516912689.03758&quot;,&quot;B,323,1516912690.37009&quot;,&quot;B,227,1516912691.15757&quot;,&quot;B,77,1516912694.37422&quot;]"
552F3EA4-0684-4D80-BEE7-838E24E76DD4	[]
B640CA17-2440-4D94-B0F7-51267F3F9605	"[&quot;P,8441,1516921059.97473&quot;,&quot;C,8441,1516921060.51926&quot;,&quot;P,8467,1516921061.86992&quot;,&quot;C,8467,1516921062.2836&quot;,&quot;P,10761,1516921201.19615&quot;,&quot;C,10761,1516921201.60944&quot;]"
6D4B77EF-D842-4101-AE4E-FDD5A67464B7	"[&quot;BG,0,1516929286.54118&quot;,&quot;FG,0,1516930614.79446&quot;,&quot;BG,0,1516930615.08017&quot;,&quot;FG,0,1516931112.75614&quot;,&quot;TPC,0,1516931656.95823&quot;,&quot;TB,0,1516931658.90666&quot;,&quot;TF,0,1516931660.80704&quot;,&quot;TBP,0,1516931663.67423&quot;,&quot;TF,0,1516931665.59141&quot;,&quot;TFP,0,1516931668.94192&quot;,&quot;P,1378,1516931750.52973&quot;,&quot;C,1378,1516931835.0519&quot;,&quot;P,1814,1516931861.81148&quot;,&quot;C,1814,1516931869.62085&quot;,&quot;P,2535,1516931912.58823&quot;,&quot;C,2535,1516931941.30881&quot;,&quot;P,3261,1516931984.67859&quot;,&quot;BG,0,1516932101.32011&quot;,&quot;FG,0,1516932107.83702&quot;,&quot;P,3504,1516932120.60234&quot;,&quot;BP,3504,1516932152.18537&quot;,&quot;P,2599,1516932154.18389&quot;,&quot;C,2599,1516932157.88683&quot;,&quot;B,3777,1516932227.70618&quot;,&quot;BG,0,1516932288.053&quot;,&quot;FG,0,1516932292.2519&quot;,&quot;BG,0,1516932427.95191&quot;,&quot;FG,0,1516932430.31232&quot;,&quot;B,10267,1516932624.96636&quot;,&quot;BG,0,1516932886.09276&quot;,&quot;FG,0,1516932889.27895&quot;]"
7E6A3DF6-B333-4C34-8439-60D0F1A80F5E	"[&quot;TPC,0,1516996502.35076&quot;,&quot;TPC,0,1516996504.12018&quot;,&quot;B,0,1516996506.30402&quot;,&quot;F,0,1516996507.01865&quot;,&quot;P,19,1516996507.8526&quot;,&quot;F,19,1516996508.5685&quot;,&quot;B,27,1516996509.15092&quot;,&quot;P,27,1516996510.99977&quot;,&quot;C,27,1516996514.53606&quot;]"
EE8F7D38-BDC0-422A-90B2-27344F52B4EF	"[&quot;TFP,0,1516996758.92416&quot;,&quot;TBP,0,1516996761.91777&quot;,&quot;TF,0,1516996764.01684&quot;,&quot;TB,0,1516996766.01615&quot;,&quot;TPC,0,1516996768.38395&quot;,&quot;TFP,0,1516996771.21629&quot;]"
5F726E75-CBD4-45FF-A431-039149E0F756	"[&quot;TB,0,1516999516.49871&quot;,&quot;TF,0,1516999518.89546&quot;,&quot;TF,0,1516999521.91219&quot;,&quot;TBP,0,1516999525.34926&quot;,&quot;TFP,0,1516999527.46502&quot;,&quot;TPC,0,1516999530.09681&quot;]"
3CBC9FAC-7126-4692-8742-6F9D879BE659	"[&quot;TPC,0,1517009874.47201&quot;,&quot;TB,0,1517009876.49909&quot;,&quot;TF,0,1517009879.08203&quot;,&quot;TBP,0,1517009882.06909&quot;,&quot;TFP,0,1517009884.81811&quot;]"
1F30ADEF-C972-46A7-8C9C-6FCCF1E35504	[]
232BEAAC-ECFD-4E08-9CDB-CCD342C54E6E	"[&quot;TPC,0,1517072543.36793&quot;]"
