resultString,participantGuid,participantGroup
"['TF,0,1493756240.20148','TB,0,1493756243.79677','TPC,0,1493756246.23097','TBP,0,1493756248.83177','TF,0,1493756250.78362','P,3888,1493756479.62077','C,3888,1493756481.05273','P,438,1493756506.93812','C,4338,1493756507.85492','P,11303,1493756921.19237','C,11303,1493756922.79377']",91ED2E05-7A39-4249-8504-0DDB64E5E27F,2
"['TF,0,1493758220.0789','TB,0,1493758223.09361','TPC,0,1493758225.79353','TF,0,1493758230.72728']",1545C5D3-9B86-4188-8F2C-1B209279FA7C,2
"['TB,0,1493763640.34844','TF,0,1493763642.54695','TFP,0,1493763645.48263','TBP,0,1493763647.83232','TPC,0,1493763650.74879','TPC,0,1493763652.41555','TB,0,1493763655.29805','TF,0,193763657.3164','TB,0,1493763659.36756','TBP,0,1493763662.21745','TFP,0,1493763665.46797','TF,0,1493763667.75009','TB,0,1493763670.25032','BP,490,1493763702.05608','BG,0,1493763720.09788','FG,0,1493763721.7394','BG,0,1493764189.96533','FG,0,1493764195.84137','BP,8393,1493764214.36693','BG,0,1493764395.8786','FG,0,1493764400.636','P,10582,1493764403.49135','C,1582,1493764404.22572','BG,0,1493764408.24722','FG,0,1493764419.31522']",28A43BA0-1AAE-4CAC-A584-49CFDAD6C452,1
"['TB,0,1493763640.34844','TF,0,1493763642.54695','TFP,0,1493763645.48263','TBP,0,1493763647.83232','TPC,0,1493763650.74879','TPC,0,1493763652.41555','TB,0,1493763655.29805','TF,0,193763657.3164','TB,0,1493763659.36756','TBP,0,1493763662.21745','TFP,0,1493763665.46797','TF,0,1493763667.75009','TB,0,1493763670.25032','BP,490,1493763702.05608','BG,0,1493763720.09788','FG,0,1493763721.7394','BG,0,1493764189.96533','FG,0,1493764195.84137','BP,8393,1493764214.36693','BG,0,1493764395.8786','FG,0,1493764400.636','P,10582,1493764403.49135','C,1582,1493764404.22572','BG,0,1493764408.24722','FG,0,1493764419.31522']",28A43BA0-1AAE-4CAC-A584-49CFDAD6C452,1
"['TB,0,1493765551.31793','TF,0,1493765554.19742','TPC,0,1493765556.80011','TFP,0,1493765558.61449','TBP,0,1493765561.26465','P,58,1493765567.29885','C,58,1493765569.05053','B,2292,493765699.92633','P,9658,1493766143.20083','C,9658,1493766180.43588','B,9700,1493766183.15048']",0E4398F9-4BB7-4852-95F0-60921C55DAE9,4
"['TPC,0,1493768338.71407','TB,0,1493768341.36209','TF,0,1493768343.26192','TFP,0,1493768346.08056','TBP,0,1493768350.74701','FP,7488,1493768791.76026','FP,7517,1493768793.36017','F,8357,1493768794.31017','FP,9041,1493768794.94318','FP,9089,1493768795.44313','FP,9491,1493768795.87901','FP,10536,1493768796.29329','FP,11255,1493768796.62678','FP,12023,1493768796.94372',&uot;FP,12616,1493768797.29233','FP,13229,1493768797.62453','FP,14136,1493768797.99116','FP,14323,1493768798.32714','FP,14711,1493768798.64161','FP,14722,1493768799.39878']",1C5875D6-4C66-46E1-BF13-734821BE9A35,2
"['BG,0,1493770439.66666','FG,0,1493770542.78986','TB,0,1493770806.5314','TF,0,1493770808.6813','TPC,0,1493770812.7647','TBP,0,1493770815.96734','TFP,0,1493770818.85021','BG,0,149371072.84557','FG,0,1493771076.84524','F,4344,1493771090.1276','BG,0,1493771151.94452','FG,0,1493771155.97801','FP,5467,1493771157.03083','F,5623,1493771157.56261','FP,5642,1493771158.5644','FP,5666,1493771159.31445','FP,6033,1493771160.71541','FP,6554,1493771162.11444','FP,6914,1493771162.74791','FP,7504,1493771163.38174','FP,8354,1493771164.04807','P,8354,1493771164.1451','FP,8354,1493771167.1817','FP,9448,1493771186.83302','FP,9522,1493771188.83303','FP,10543,1493771189.71688','FP,11263,1493771190.58341','FP,12032,1493771191.36711','FP,12624,149377192.11795','FP,13238,1493771192.91681','FP,14143,1493771193.70011','FP,14348,1493771195.46751','FP,14820,1493771202.40064','FP,14820,1493771203.48449','FP,14820,1493771204.45064']",BE4CA75D-6FDD-44AC-B10D-EDD36CF404F8,1
"['TB,0,1493771973.25491','TF,0,1493771975.39646','TPC,0,1493771977.91531','TFP,0,1493771986.83583','TBP,0,1493771989.2036','TFP,0,1493771992.18834','TBP,0,1493771994.97322','P,732,493772039.64652','C,732,1493772103.23975','P,1354,1493772138.60138','C,1354,1493772190.57639','P,3685,1493772328.38107','C,3685,1493772368.06659','P,7893,1493772615.39135','P,7912,149372616.37517','C,7912,1493772636.43602','P,9955,1493772760.01357','C,9955,1493772774.63813']",FC785280-CFFB-4661-AD9B-F1F26042C176,1
,3317CE91-9EA4-4153-B137-130475CCDA60,3
"['TB,0,1493825653.09593','TF,0,1493825655.70944','TPC,0,1493825657.79404','TBP,0,1493825661.36134','TPC,0,1493825663.5941','P,146,1493825674.74616','C,146,1493825677.77833','P,146,493825677.96441','B,146,1493825679.02864','P,14270,1493826516.29914','C,14270,1493826583.22096']",E7F2761B-C45B-47C1-AC52-C778B0DAE3BE,1
